after_acc,after_delayed_messages_read,batch_sequence,before_acc,data_location,delayed_acc,failure_reason,l1_block_hash,l1_block_number,l1_block_timestamp,l1_log_index,l1_tx_hash,l2_first_block,l2_first_hash,l2_first_timestamp,l2_last_block,l2_last_hash,l2_last_timestamp,mapping_confidence,mapping_method,mapping_status,p_lag_seconds_first_block,p_lag_seconds_last_block,timebound_max_l1_block,timebound_max_timestamp,timebound_min_l1_block,timebound_min_timestamp
0xe3e19de6ceb6d0bbf4d58db7e9e94966b9380388c5287ae8cba9901b0d8fbe2e,2514486,1301011,0xca16ab3f4d1b85ba8bea1b09ea06ad6543c550d83a009cd02a6e80fc3fffbe65,Blob,0x915362b78bd7d14036d1ee34220732a7dbffa9481c32a99b70875ebafe0218e8,,0x0eca020630d96641f459ed85ea90f8dfe13538f1b9a277576738e4c92e8d40da,25593914,1784791403,377,0xeba499ea482367c12a6ef85ddb25a6470ce90afcb21ac011d5d6938e14101f24,486799888,0x445a30b72b4c78dcabdd3bd0ac2c4d7e5075c388cbef216cfa32bcddd1e301e2,1784791267,486800392,0xe3e07e3b6e0075fc459b32402d3a263f369f9f9a0cfea5531aeb42dd22855c20,1784791394,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,136,9,25593978,1784792171,25586714,1784705003
0xdba0d40029b1db7b2232255eab1afc124e585a1ea1dfa7b4bde8324cb0a7e890,2514486,1301012,0xe3e19de6ceb6d0bbf4d58db7e9e94966b9380388c5287ae8cba9901b0d8fbe2e,Blob,0x915362b78bd7d14036d1ee34220732a7dbffa9481c32a99b70875ebafe0218e8,,0x949c11bdd781ca35b4fdba95d740e8d4a2858ef0c4c7d7295c82a8d60102045f,25593924,1784791523,494,0xb84842fe92724f3ae74b1957511bc8d10984bfae218bf109ee5b3d093c24a480,486800393,0x22b0f9dc0be647993c8800a84cc6793d832fd1247b7eb65e3e1c9cc7ba40bc1f,1784791395,486800845,0xeb7daae03ed7b17fbf1017b46dabfec07242917c04bfd696a5956cf091b94d1c,1784791508,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,128,15,25593988,1784792291,25586724,1784705123
0x9c6dcf46f110a2c41ced70bdd104b85986c80c8f88d627ac40674055ee589ca7,2514490,1301013,0xdba0d40029b1db7b2232255eab1afc124e585a1ea1dfa7b4bde8324cb0a7e890,Blob,0x862ad14021951fb575e4feb11b3f8caadbf7b12858125d132d2c7c24ede43c2d,,0xb94fc842b302e0d6de83d5edc0ec9f015aedaa091499badbb3012b66672273ae,25593937,1784791679,220,0xcb48328542ee348fec6d7a6ab52d00a3ec01e709a7dfd4a635c908bf846bd489,486800846,0x9affb6029dde916987277e51cf4890e4dabc9ac2bf319703d7bbd77140e53325,1784791508,486801452,0x050884fabe1fb0b76f1bab4280cfaa3fff5d1e94380b868fa87b6edd1bd7c17b,1784791660,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,171,19,25594001,1784792447,25586737,1784705279
0x1e7423c8e77e2062debd93487abd5f185d60326337d27849d0f09c9c4162d1b7,2514490,1301014,0x9c6dcf46f110a2c41ced70bdd104b85986c80c8f88d627ac40674055ee589ca7,Blob,0x862ad14021951fb575e4feb11b3f8caadbf7b12858125d132d2c7c24ede43c2d,,0x9039a00a624d051a92248ae06823233a03eb21cf2e996cde8ba1ba5f4f5a2f80,25593948,1784791811,470,0x5d7cfedb52ac888ef39039bb3fa60c1adc10be1bf7771779648189527818ee63,486801453,0xcc39218d6340aa3afc400509840650f35237e6df120a68ecd5f9123f275eb0fc,1784791660,486802013,0x237482070535682678f63e55f9edb986b664305842ed900dafe7d9be4e831d73,1784791801,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,151,10,25594012,1784792579,25586748,1784705411
0x4cd3739df1fd121867edcc6085999cc07f7e71edd957c37388311521e72bbb15,2514493,1301015,0x1e7423c8e77e2062debd93487abd5f185d60326337d27849d0f09c9c4162d1b7,Blob,0x96e4b7655af24144d0c4c4a67a81b499fbb2d6f7d1a0c25c9d41f0b80e0374cf,,0x036e3f9c939456a8e31a495a2c3cd92890b53c55131100da6cf4792c7c107fd9,25593959,1784791943,160,0x0daf4e2c9f1b90729305cab50ef89b3981486fc3cbd9bdbc38c56fa6c04d2048,486802014,0x79e9b0d596c332fbe24b5406d722fd4c0465c6ea97a9797fae73d8e33b595e08,1784791801,486802529,0x49734565b86fc67b83a32ce838bfdb5726dae02f1e690c7ae3b161fe7bc89dc2,1784791929,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,142,14,25594023,1784792711,25586759,1784705543
0x9346d49c69b6bcab6f5b8c29adf8244a27979c55cbd17c36bfcf4db8bbfe80df,2514493,1301016,0x4cd3739df1fd121867edcc6085999cc07f7e71edd957c37388311521e72bbb15,Blob,0x96e4b7655af24144d0c4c4a67a81b499fbb2d6f7d1a0c25c9d41f0b80e0374cf,,0x2bae6724f496422fe449ce72b74e15bba1e87e710fd4b8d835238d4b1e263452,25593972,1784792099,777,0x278fe1cd419b920593865135b94848fd52c9960e700065996a3dad1a66bb7bc5,486802530,0xc3ddcee1f7a08d8191d2e399b77965f7b9e8a3340f1ee3fa4f405f4bce684955,1784791929,486803154,0x8a0e3b81c9aa7de2268c0a410d9a5a3bf3a248e884ae81edd42605a408443c44,1784792086,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,170,13,25594036,1784792867,25586772,1784705699
0x17436f16e438a6559b87aebce62cebe2e93206a19c9ff4ae5ad9959c16f4228a,2514493,1301017,0x9346d49c69b6bcab6f5b8c29adf8244a27979c55cbd17c36bfcf4db8bbfe80df,Blob,0x96e4b7655af24144d0c4c4a67a81b499fbb2d6f7d1a0c25c9d41f0b80e0374cf,,0x67a95ff07545c0595b8f98f165c7e6a80e4397102c9b17c02ebd6d038688da8a,25593984,1784792243,93,0x7a32cc6920921a249ca6764a7e15f601189c78822902c3812d9f7df6f655e8a4,486803155,0x7a831f2dcf464e207999ac9ab2a4958f20f9060630450f858814a81ebe71b3ab,1784792086,486803715,0xae08f5b27f2c52d51b9d6612aa2f62b5261229a69eb033b6278c73d790ed9c33,1784792227,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,157,16,25594048,1784793011,25586784,1784705843
0xaec4203a58a12eaca05bb88df353fb6a373d5ccc9ff3409b90b2e217114ffc76,2514496,1301018,0x17436f16e438a6559b87aebce62cebe2e93206a19c9ff4ae5ad9959c16f4228a,Blob,0x7e7c674fcda809b90389c0b6da5a6f1d66797ad82618ef1e115fbdcaa031762f,,0x9a7634e5e6592b242de18eb36cb5676fa02ae5d3e6c8d329db9554ed200f929d,25593994,1784792363,150,0x7d255d4910acad441da501802111b13da8f223370dbb71f10290fe94fafa7494,486803716,0x13583b07356875d0f10cfadb739536e652221c8a5ab06fd485abd749035aa3e3,1784792227,486804186,0xe722dbc41abab41c52355f20d797ff97ada230722ba84d514a6a72fe5bb8f3ec,1784792344,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,136,19,25594058,1784793131,25586794,1784705963
0x162c46f4e9f358c33241bd5db3919856513c35d80b0782aaa6743f4603cbe44b,2514496,1301019,0xaec4203a58a12eaca05bb88df353fb6a373d5ccc9ff3409b90b2e217114ffc76,Blob,0x7e7c674fcda809b90389c0b6da5a6f1d66797ad82618ef1e115fbdcaa031762f,,0x001654218aa122879060ff567701dc3c4e8a0dc77707e1e91f7f4b641bf74b99,25594006,1784792507,648,0xc7e32d8dc9edd2cdb35e5e98291220a3f08ae3be27961a3d207c3bb635d71159,486804187,0x259eabb080d2a5213201eef3514db0421dc60b800840991c5c05eea7a2c32303,1784792345,486804776,0x741dc1cc7caff2e07719c7e00dbf6983be3a138ed0df0239e4023e568fd67b6d,1784792492,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,162,15,25594070,1784793275,25586806,1784706107
0x3fb75291eef1f71450f300618069144af81d44369c28210e66843ab72f3f45dc,2514496,1301020,0x162c46f4e9f358c33241bd5db3919856513c35d80b0782aaa6743f4603cbe44b,Blob,0x7e7c674fcda809b90389c0b6da5a6f1d66797ad82618ef1e115fbdcaa031762f,,0x6c047439ad30b174646bc4ac642dc7cf6e78cb90df5ce9b98f100a0cbdb5fbbf,25594017,1784792639,372,0x18270aa8c530ad16fc8c7ea80d49771e10df146660a5e21aab94cb72854dc8b9,486804777,0x42be37b649cbd0dfe690a9914bb80e198767e87acfd34ae789de1bf10efe51de,1784792492,486805318,0x10d97d2aaa154cd99cfefbc8ccae78df6e6590472387e59c8dfc7e395bbe2b31,1784792628,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,147,11,25594081,1784793407,25586817,1784706239
0x6a29c5ffd9ff8862f8b621b3e78ee21365000e30091bed769508332b9aecc340,2514501,1301021,0x3fb75291eef1f71450f300618069144af81d44369c28210e66843ab72f3f45dc,Blob,0x94b27b3173c23c5ed356a376da8305b04ceb59759a1fea4fc330583f92715644,,0x41a607e3450569247817d4985b27ddada07da9068a4efe66484a480fe76529ae,25594028,1784792771,527,0xa14990dd0c15500a80f54da0dc9905104cdd7d74a93053bd84b2461c5586f435,486805319,0xa60f7890477c62e7fbd569aa52c787f4038a9a78ef09efbf343734a29a47c036,1784792628,486805848,0x8440f90ceb0b3065bcd2a92dbeb036c85feefab98f7d1d2a2dac8dc4a46b7512,1784792760,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,143,11,25594092,1784793539,25586828,1784706371
0x475279ca9cf2096cfb4528707d79a59c0bb05db4f0beb1d938b43d08b8f0d8dd,2514501,1301022,0x6a29c5ffd9ff8862f8b621b3e78ee21365000e30091bed769508332b9aecc340,Blob,0x94b27b3173c23c5ed356a376da8305b04ceb59759a1fea4fc330583f92715644,,0x119514c9944b981f6485cbeedb1713f4afa9c9921606139d98f24eaa9418c063,25594035,1784792855,263,0x3621fcdfff82b9894a164008a37c7d010b3030497e55ac81d43024c05e92e0c0,486805849,0x9adb3d0a73eb514f1b304dd0de1c39f2e8fe18251d68458e9fc877356ffb644b,1784792760,486806195,0x3201493ce023193deae0731972b82b3a5044350c25ada7f51ae0e4b48e5914af,1784792847,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,95,8,25594099,1784793623,25586835,1784706455
0x4f8084afa2525c8171399dd28839fd0ed40c984b1c287028f29afbd56b9138c0,2514501,1301023,0x475279ca9cf2096cfb4528707d79a59c0bb05db4f0beb1d938b43d08b8f0d8dd,Blob,0x94b27b3173c23c5ed356a376da8305b04ceb59759a1fea4fc330583f92715644,,0x26dc6c356c4ae991a16eb60c6eb02d3a82be1ebd59fc70b06d640ff4d5f7c327,25594049,1784793023,88,0xca387a94d2c50c47de5b63a770a96346fbf78ef9dc3acdb116b1493334ce73f9,486806196,0xf64fde74bc726c0409a632d8e018197133febe29bb45950a61f88b0e31a6b099,1784792847,486806868,0x6d16bd05fada8e6694069985eb535f1ef1a1e39450046506933c65f7fafcc901,1784793016,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,176,7,25594113,1784793791,25586849,1784706623
0x16c6017326c4bd19677c8d434a2be0fc0200bc61530ece1cf4e0f7b1a292c20e,2514506,1301024,0x4f8084afa2525c8171399dd28839fd0ed40c984b1c287028f29afbd56b9138c0,Blob,0xde4411ae77d1e74e65f09fda298292e18d508da76cd18b58d763e061a5c88bda,,0x310eac9f14e981551f581786ff9ec9be8e6c08abf5d81386e4c56fb3caba239e,25594062,1784793179,918,0x4e873898856f1e314c8be09c3aaceb37c60cd6bf672999ea5715326da7bb561f,486806869,0x87eda8a19c3cc16f9c19c84dc39e1bc86dd9d8b7538121edf3ab516d3d27a349,1784793016,486807435,0x78423b17bbb2276b50e15d3b348642185d1aa3b3589b602239ddcd606f5fab31,1784793157,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,163,22,25594126,1784793947,25586862,1784706779
0x8c08e864cab4ccc9bc47dc0e67646b8597fb39e2af8b6d42b57e1b4cbef4adc1,2514506,1301025,0x16c6017326c4bd19677c8d434a2be0fc0200bc61530ece1cf4e0f7b1a292c20e,Blob,0xde4411ae77d1e74e65f09fda298292e18d508da76cd18b58d763e061a5c88bda,,0x720d8c436092cacb01f5235ecd0b17239580bd0056d3b7ab76e57b212c70b642,25594076,1784793347,759,0x63ba3f85e85566b4091928f1c7ed81501365bec2b6897e0ba63e912ca8f200f4,486807436,0x1a1d630d2d6072eabf79d480b462d703ae5c2fd408f159a09eb0fd422ec6afd6,1784793157,486808070,0x6bd3c9cab8fed58e55771ba9d7cac2c33aa2746d0e67d271541524e53516b278,1784793316,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,190,31,25594140,1784794115,25586876,1784706947
0x1d30844ab026f4aa54c43852de96ff9faa829146dbe99d73b4f7b10eb954f348,2514506,1301026,0x8c08e864cab4ccc9bc47dc0e67646b8597fb39e2af8b6d42b57e1b4cbef4adc1,Blob,0xde4411ae77d1e74e65f09fda298292e18d508da76cd18b58d763e061a5c88bda,,0xc6b81773877ea108fefed73d1c366c92cfa11ffb39febdb3e0556b7b4ef1c5bb,25594086,1784793467,265,0x155a9e44621c5dc9a41ccafc7ba7d152e3cfb369cd64f41359a1349d49847b25,486808071,0xae34b204e8b223e200c5cb1029c202b271a6890d64b67f07b0f26eddc1afca52,1784793317,486808577,0xa9942236c173a3f9f7870a8b5e2f35c79b1ab4d9f8539884b1a066b4bb9c478a,1784793445,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,150,22,25594150,1784794235,25586886,1784707067
0x2208076160f5803ffcbb39e956a52d33370496dbea3a3eef469c4ecb19c51647,2514511,1301027,0x1d30844ab026f4aa54c43852de96ff9faa829146dbe99d73b4f7b10eb954f348,Blob,0xfc4a571dd354b1898e096edf90cfd289913126bb215acb44383ca148c7ce736a,,0xd9cfa4d267298953317819e290990d2b916a106f6593b668e2a2924c073a6eb0,25594099,1784793623,380,0xea5c23ac8bfadf5e2c034bdb5ccccba958962ef8702a6edee43b0e5befdaf1ee,486808578,0x67b0abd93d61e5c5c67f9f8a907eb3ce63fb2cf5605c3729c5ab4610089d5dd9,1784793445,486809254,0xe545db41691de4b0695a195256e48015afa49b61c03742293d336f8b100f050d,1784793613,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,178,10,25594163,1784794391,25586899,1784707223
0xb89edda99f9a1104ff4aaf4fd8dcdf1a6e3a9715c7c17cf1fe5ac97f627f3191,2514511,1301028,0x2208076160f5803ffcbb39e956a52d33370496dbea3a3eef469c4ecb19c51647,Blob,0xfc4a571dd354b1898e096edf90cfd289913126bb215acb44383ca148c7ce736a,,0x2365f437fc6cb8b30522de41d10782588cb02a1dd3d14515e07a114166be1ab8,25594111,1784793767,262,0xf1f7ae29845ab64c927c0e1576a30f2c474dcd52059bfce63b1da8f599a781a9,486809255,0xf75f6f55980698b151ac906f3a861306c3100f4d4f60a6916895fffb4a9fa88f,1784793614,486809781,0xac5d6a551a01339b7c4c342b5e0195a1faec1890d410a6c168690f1b85c5aaf6,1784793746,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,153,21,25594175,1784794535,25586911,1784707367
0xe1d8e83358f3b73a244ff3c19feaff1833f54ca2288eb3b8b836419a013bc6b7,2514514,1301029,0xb89edda99f9a1104ff4aaf4fd8dcdf1a6e3a9715c7c17cf1fe5ac97f627f3191,Blob,0x5df45068e581da96b670c232f29f48b55a5a5f36d2618ea99e502bbdea837e36,,0x725b80caeb8fb385da4bcc0c302ed42e7eae12edf54c2df999a77417120e5d02,25594121,1784793887,203,0x73bbd79575a87668ffc22004896dc186e6417d59751823b8c19d7bdefdbed958,486809782,0xa5c7676940752d3548e288847cc575b43d6f5e1a2304cea2025776a0209cebaa,1784793746,486810271,0x3407096819359d7d7befc8fc14bfcbb1d2cef6e1454b2ff70adecc6006ce7400,1784793868,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,141,19,25594185,1784794655,25586921,1784707487
0x09efa7aa1e6d8cf63b1ecbf45a6bce33af320aa8e59943abd66b9f20846c4161,2514514,1301030,0xe1d8e83358f3b73a244ff3c19feaff1833f54ca2288eb3b8b836419a013bc6b7,Blob,0x5df45068e581da96b670c232f29f48b55a5a5f36d2618ea99e502bbdea837e36,,0xf787bdc8d6c980f9291c653293a3ea138058cd9f8e29ab59c3eb56304aada261,25594132,1784794019,222,0x834e6516ad53c42562f8c2ee293aa02a2822287c56cc5b76bea280869c4af55e,486810272,0x66fbf04f654ac7f83ed20b607ac5e384354d856ae7b1dc723e3b2e6c2ce591cc,1784793868,486810788,0xf002c5b84a3f466e38482d07892fbe0d35dcaa878ac57f5933f50864e220b528,1784793997,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,151,22,25594196,1784794787,25586932,1784707619
0x59f132f93f47226b4126b9e89cf486885f207b2870d6158c909205d24a96b170,2514514,1301031,0x09efa7aa1e6d8cf63b1ecbf45a6bce33af320aa8e59943abd66b9f20846c4161,Blob,0x5df45068e581da96b670c232f29f48b55a5a5f36d2618ea99e502bbdea837e36,,0x3b418fd55d713152c798d3abbb05639b4878379794e09b6439fd9d47825c3354,25594141,1784794127,417,0x74825986b0defd926201c30f1358dfa2a18565d379f6fc0318bd9affbb2c1728,486810789,0x56a58e55a1521203ebcd45182cd8cac8eb0f85c22a23a8c68be55fac5f5224bb,1784793998,486811215,0xc17ba4136bb2e05954d85bb029dcf56feb084f254fac7c65ffffbd183aa8a46e,1784794104,high,NodeInterface.findBatchContainingBlock monotone lower-bound,range,129,23,25594205,1784794895,25586941,1784707727
